OBJECTID,linkid,description,site_origin,site_destination,direction
57140,2133,"Southbank Blvd, City Rd to St Kilda Rd",4880,4532,EB
57141,2134,"Southbank Blvd, St Kilda Rd to City Rd",4532,4880,WB
57142,2236,"North Rd, East Boundry Rd to Koorang Rd",3560,3559,WB
57143,2237,"Foote St/Reynolds Rd, Williamsons Rd to Blackburn Rd",700,698,EB
57144,2238,"Reynolds Rd/Foote St, Blackburn Rd to Williamsons Rd",698,700,WB
57145,2239,"Reynolds Rd, Blackburn Rd to Andersons Creek Rd",698,704,EB
57146,2240,"Reynolds Rd, Andersons Creek Rd to Blackburn Rd",704,698,WB
57147,2241,"Reynolds Rd, Andersons Creek Rd to Springvale Rd",704,314,EB
57148,2242,"Reynolds Rd, Springvale Rd to Andersons Creek Rd",314,704,WB
57149,2421,"High St, Sladen St to Stawell St",254,251,SB
57150,2422,"High St, Stawell St to Sladen St",251,254,NB
57151,2423,"Blackburn Rd, Ferntree Gully Rd to Duerdin Rd",451,363,SB
57152,2424,"Blackburn Rd, Duerdin Rd to Ferntree Gully Rd",363,451,NB
57153,2425,"Blackburn Rd, Duerdin Rd to Wellington Rd",363,3722,SB
57154,2426,"Blackburn Rd, Wellington Rd to Duerdin Rd",3722,363,NB
57155,2427,"Mount Dandenong Rd, Colchester Rd to Canterbury Rd",639,146,EB
57156,2428,"Mount Dandenong Rd, Canterbury Rd to Colchester Rd",146,639,WB
57157,2429,"Leith Rd/Swansea Rd, Mt Dandenong Tourist Rd to Birmingham Rd",814,106,NB
57158,2430,"Leith Rd/Swansea Rd, Birmingham Rd to Mt Dandenong Tourist Rd",106,814,SB
57159,2431,"Swansea Rd/Anderson Rd, Birmingham Rd to Maroondah Hwy",106,145,NB
57160,2432,"Anderson Rd/Swansea Rd, Maroondah Hwy to Birmingham Rd",145,106,SB
57161,2433,"Bayswater Rd, Eastfield Rd to Canterbury Rd",626,860,SB
57162,2434,"Bayswater Rd, Canterbury Rd to Eastfield Rd",860,626,NB
57163,2435,"Thompson Rd, Foote St to Manningham Rd",320,680,SB
57164,2436,"Thompson Rd, Manningham Rd to Foote St",680,320,NB
57165,2441,"South Gippsland Hwy, Thompsons Rd to Camms Rd",256,258,SB
57166,2442,"South Gippsland Hwy, Camms Rd to Thompsons Rd",258,256,NB
57167,2443,"High St, Camms Rd to Stawell St",258,254,SB
57168,2444,"High St, Stawell St to Camms Rd",254,258,NB
57169,2445,"Thompsons Rd, Springhill Dr to South Gippsland Hwy",548,256,WB
57170,2446,"Thompsons Rd, South Gippsland Rd to Springhill Rd",256,548,EB
57171,2447,"Narre Warren - Cranbourne Rd, Greaves Rd to Glasscocks Rd",3174,3175,SB
57172,2448,"Narre Warren - Cranbourne Rd, Glasscocks Rd to Greaves Rd",3175,3174,NB
57173,2449,"Narre Warren - Cranbourne Rd, Glasscocks Rd to Rosebank Dr",3175,1578,SB
57174,2450,"Narre Warren-Cranbourne Rd, Rosebank Dr to Greaves Rd",1578,3175,NB
57175,2451,"High St, Warrigal Rd to Warner Rd",970,1080,WB
57176,2452,"High St, Warner Rd to Warrigal Rd",1080,970,EB
57177,2453,"High St, Warner Rd to Summerhill Rd",1080,2042,WB
57178,2454,"High St, Summerhill Rd to Warner Rd",2042,1080,EB
57179,2455,"High St, Summerhill Rd to Glen Iris Rd",2042,3820,WB
57180,2456,"High St, Glen Iris Rd to Summerhill Rd",3820,2042,EB
57181,2457,"High Street Rd, Warrigal Rd to Huntingdale Rd",970,463,EB
57182,2458,"High Street Rd, Huntingdale Rd to Warrigal Rd",463,970,WB
57183,2459,"High Street Rd, Hungtingdale Rd to Stephensons Rd",463,464,EB
